RATE,TITLE,CONTENT
5,"Tu opinión es muy corta, cuéntanos un poco más.","Anda bien.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta,Tu opinión es muy corta, cuéntanos un poco más. cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntanos un poco más.Tu opinión es muy corta, cuéntano"
4,Calidad-Precio excelente. Depende de gustos.,"Calidad de sonido:    Musicalmente: 10/10. Se escuchan todos los instrumentos y tienen un volumen precioso.   Gaming: Buenos, se tienen que ajustar a gusto ya que a primeras el sonido es muy fuerte y estruendoso, se escuchan todos los ruidos con claridad, como los pasos en juegos FPS.   Comodidad: Muy buena pero depende de los gustos. Apretan la cabeza cosa que a mi me gusta pero entiendo que a otra gente no. Las almohadillas son muy cómodas y no generan absolutamente ninguna molestia, pero podría dar mucho calor lo que, personalmente, no me molesta.   Micrófono: Calidad media, funcional, no trae problemas y para uso común es perfecto. Se puede nivelar con el software de Redragon.   Detalles: El cable es muy largo (punto bueno) y es extraíble al igual que el micro (punto bueno). Los botones del cable son muy útiles, aunque se encuentran bastante alejados de los auriculares, personalmente no me molesta.    Obviamente las orejas entran perfectamente y no hacen contacto con la almohada, para gente con lentes estos auriculares son muy buenos, la almohadilla está hecha de una goma que se ajusta a superficie y no hace presión alguna. El software es algo que se aprecia pero no tiene mucha utilidad, los modos de sonido son 3 y dos de esos son muy malos.   Para su precio son mejor de lo que se espera, un auricular de estos valdría unos 8000 pesos argentinos. Son recomendables pero si se tiene accesibilidad a accesorios de más calidad, se recomiendan unos Cloud Alpha o Cloud Revolver."
4,Excelente relación precio/calidad en sonido.,"Por el precio y lo que propone se llevaría un 5. La calidad de construcción es bastante pobre en cuanto a que es todo muy plástico y liviano. Pero es destacable la calidad de sonido que impone para el precio, la cual es muy buena, mejor de lo que esperaba. Y tiene una buena distancia, los he usado hasta en 6 o 7 metros máximo y ha respondido a la perfección incluso a través de paredes de yeso (no los he probado más porque no tuve la necesidad). Si no fuera por los materiales sería un 5. Pero por el precio, un golazo. Y además incluye baterías, que por más que sean chinas, es destacable que te trae todo listo para abrirlo y usarlo. Un 10 en precio calidad. Tendría que probar la duración a largo plazo de la parte electrónica, pero le tengo confianza porque parece que es muy simple. Los he usado por 3 hs sin parar y sin apagar y no dejo de responder. Solo se calentó un poco la base. Muy contento con la compra. La recomiendo si no es para un uso profesional, ya que no sé si te puede dejar a gamba."
5,Me parece excelente producto.,"Excelente producto, muy buena terminación, estaría bueno que traiga instrucciones de instalación, principalmente por el hecho que trae un juego de llaves de obra y el propio de la puerta. El tema es que las llaves de obras, estan pensadas por si se extravía alguna, con la ?? (llave) dorada se puede cambiar la combinación y a partir de ese momento solo se pueden utilizar las llaves propias de la puerta. En caso contrario siempre se pueden utilizar 6 llaves eso está muy bueno. Otro tema es que también trae unos tipo de tarugos metalicos 6 en total para amurar el marco a la pared, para luego rellenar con material. La instalación es sencilla solo hay que saber esas cositas. El cierre es perfecto, durante la instalación se puede abrir y cerrar la puerta las veces que se necesite, porque el marco no se sale de escuadra, no se deforma, esta hecho todo en una sola pieza, eso hace que haya que picar un poco mas por debajo del nivel del piso, para que quede casi al ras del piso, la parte baja del marco."
4,Para fans de Razer,"PROS:  La calidad de los materiales es excelente, como se puede esperar de un producto NZXT y Razer. La pintura está riquísima, aunque debe tratarse con cuidado para evitar rayones porque se ve delicada. Esto se evidencia en cómo los tornillos de los paneles remueven un poco la pintura de los agujeros cuando se sacan y ponen (no es un detalle que moleste, en este caso, pero cabe tenerlo en cuenta). El manejo de cables no deja nada que desear. Por donde veas al gabinete, es absolutamente precioso. Es un placer a la vista.  CONS:  No usa vidrio templado, sino un acrílico muy oscuro que no deja ver nada si no tenes LEDs alumbrando desde adentro o algún otro componente con RGB.  La toma de aire superior no tiene filtro de aire magnético, lo cual para este precio me parece absurdo.  El modelo H500 de NZXT es más nuevo y tiene vidrio templado y aun así está más barato que este modelo. Esto denota lo inflado que está el precio por el solo hecho de ser Razer. Lo recomiendo solo a aquellos fanáticos de Razer que lo prefieren por una cuestión estética (como yo)."
5,Me sorprendió! vale la pena 100% Recomendada!,"Muy buen producto, recomendado. Limpia mugre que ni vos sabías que había. El día antes que la compramos, barrimos toda la casa. Al día siguiente para probarla imaginando que no juntaría mucha mugre porque habíamos barrido, gran sorpresa, el recipiente de la aspiradora lleno de mugre.   La verdad estamos muy satisfechos con el rendimiento. La ponés a trabajar y te olvidás y cuando se le acaba la batería vuelve solita a cargarse.   También la probamos con el modo trapeador y a pesar de que no aplica el trapo con tanta fuerza, el piso quedó barbaro.   Recomiendo antes de usarla tratar de despejar el lugar de sillas para que la limpieza sea más rápida y optima. No es que se trabe, pero cuando encuentra un obstáculo trata de esquivarlo y ello conlleva a demora y gasto de mas batería.   Ayer me limpió toda la casa en modo barredora. Estuvo exactamente 1 (una) hora barriendo toda la casa hasta que se le agotó la batería, para luego volver directo a recargarse.   No hace mucho ruido, nada que ver al ruido molesto de una aspiradora normal, ésta es mucho mas silenciosa.   No recomiendo éste producto para viviendas con espacio super reducido ya que no tendría sentido.   El único defecto que le encontré es que no limpia el perímetro de alrededor a su base ( 50 cm a la redonda),pero se arregla cambiando de lugar de vez en cuando."
5,Excelente,..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................                                                                                                             
5,CANCIÓN DE LA VACUNA / elena walsh,"Buen Producto, como Mercado Libre pide mas palabras ahi va,    Había una vez un bru  un brujito que en Gulubú  A toda la población  embrujaba sin ton ni son  Pero un día llegó el doctorrrrr  manejando un cuatrimotorrrrr  ¿Y saben lo que pasó?  ¿Y saben lo que pasó?  ¡Nooooooo!    Todas las brujerías del brujito de Gulubú  se curaron con la vacú  con la vacuna luna luna lu    La vaca de Gulubú  no podía decir ni mu  El brujito la embrujó  y la vaca se enmudeció  Pero un día llegó el doctorrrrr  manejando un cuatrimotorrrrr  ¿Y saben lo que pasó?  ¿Y saben lo que pasó?  ¡Nooooooo!    Todas las brujerías del brujito de Gulubú  se curaron con la vacú  con la vacuna luna luna lu    Los chicos eran muy bu  burros todos en Gulubú  Se olvidaban la lección  o sufrían de sarampión  Pero un día llegó el doctorrrrr  Manejando un cuatrimotorrrrr  ¿Y saben lo que pasó?  ¿Y saben lo que pasó?  ¡Nooooooo!    Todas las brujerías del brujito de Gulubú  se curaron con la vacú  con la vacuna luna luna lu    Ha sido el brujito el u  uno y único en Gulubú  que lloró, pateó y mordió  cuando el médico le pinchó  Y después se marchó el doctorrrrr  manejando un cuatrimotorrrrr  ¿Y saben lo que pasó?  ¿Y saben lo que pasó?  ¡Nooooooo!    Todas las brujerías del brujito de Gulubú  se curaron con la vacú  con la vacuna luna luna lu  Se curaron con la vacú  con la vacuna luna luna lu"
5,Excelente,todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom todo bom
5,geniales,geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales geniales genial
