RATE,TITLE,CONTENT
3,Cumplen la función,"EL producto no es el que esperaba ya que la publicación decía que era un producto importado y me llegó de industria nacional. El producto en una primera impresión me pareció muy inferior en comparación a la óptica original, pero por precio y sabiendo que es alternativo mucho más tampoco se puede esperar. Una vez colocado en el vehículo quedé un poco más satisfecho ya que no tuve mayores inconvenientes para la instalación y dentro de todo cumplen la función. Veremos con el tiempo si tiene la calidad suficiente como para durar.  En cuanto al vendedor, en general bien ya que respondió siempre a tiempo y atento y el producto llegó también a tiempo. Lo que me disgustó fue su reacción al momento que recibo el producto y veo que no era el que vi en la publicación, y no por tener algo en contra de los productos nacionales pero por recomendación me aconsejaron el producto importado. La respuesta del vendedor fue que por las paso y la situación comercial no contaba con el producto importado y me envió el nacional para cumplir conmigo, además que había cambiado la publicación ( mi compra fue por ópticas de gol trend). Yo le respondí que la compra la había realizado previo a las paso e incluso el día Lunes posterior a las paso cuando me envía el producto me podría haber contactado para comentarme la situación y finalmente me contestó no tiene nada que ver la política acá. No procedí con la devolución para evitar más inconvenientes pero no me quedé totalmente satisfecho con el vendedor."
3,"50%-50%..El encoder EXCELENTE, la ruedita NO SIRVE","El encoder funciona perfecto con otras ruedas perforadas, como las de 20 orificios que venden. La que viene con el encoder, para que efectivamente funcione a 100ppr, NO SIRVE!!!!!!. Cuando les dije eso, me contestaron que tengo que mandar a hacer un soporte que debe ser diseñado a la perfección. De hecho, en el video que muestra el vendedor cuando un pide info, tampoco funciona bien. Cuando les dije que la rueda NO SIRVE me contestaron que SIRVE y que si yo no lo sé usar o no sé diseñar el soporte, es mi problema...A lo que yo les contesté que DEBERÍAN INFORMAR EN LA PUBLICACIÓN QUE LA RUEDA DE 100PPS NECESITA UN SOPORTE QUE LO FABRIQUE LA N.A.S.A. Si no lo especifican, es una publicación ENGAÑOSA o INCOMPLETA. La info que muestran en las fotos y la que brindan al pedir hoja de datos, no es de gran ayuda. En realidad, el encoder es lo mismo que 2 sensores/encoders en U en el mismo encapsulado. Por eso los cables son ROJO: Vcc, NEGRO: GND, AZUL y AMARILLO: SALIDAS A y B... Se puede conectar exactamente igual que los encoders mecánicos de 20ppr tipo potenciómetros. El problema es que si no usamos el disco de 100ppr y usamos un disco perforado de 20 perforaciones, el encoder pasa a ser de 20ppr. Finalmente, yo lo usé con un disco perforado de 20ppr, pero en un sistema de 3 engranajes de modo de que multiplicara x 5 las revoluciones del disco, por cada revolución del eje con la perilla. Me gustaría que MONA vendiera el soporte que tanto dicen que yo no sé fabricar o diseñar..."
3,Todo depende de lo que uno esta dispuesto a pagar,"Por el Precio esta pasable, Tiene hasta el momento que la puse,osea un día, que viene con la rejilla del horno en la parte de arriba, cuando la pasas abajo de todo no entra, hay que hacer mucha fuerza ya que ensima es muy liviana,y se mueve toda y eso es complicado.aparte de eso la puerta con la rejilla abajo no cierra, porque pega con la manija extractora de la rejilla, despues toda la parte de la bandeja de arriba donde van las hornallas tiene un vinilo, en vez de estar pintada, al primer uso se levanto, el problema es que es blanco como la cocina, y si hay que sacarlo porque viene como protección, queda una patada a los huevos, porque abajo es aluminio y ensima en las esquinas esta mal terminada, en fin. Lo bueno, tiene protección de hornallas por si se apagan . Para recomendar solo si se conocen sus contras y el cliente o uno mismo lo acepta. Le hice mas modificaciones para que sea útil y no debería, son cosas que los fabricantes se tienen que dar cuenta. Lo mas grave lo de la bandeja parrillera y que si la moves no la podes poner en otra ranura o no cierra la puerta. En fin."
3,No es lo q parce... Costo beneficio bueno.,En el compartimento q es para notebook entra a duras penas una de 14 pulgadas si se quiere pones otra más grande hasta 15.6 se puede pero no en el compartimento de notebook si no en el de al lado... Las medidas reales estando la mochila llena a tope son 40x28x25... Siendo 25 la parte donde está el bolsillo delantero y 20 en el resto... Si se suma el total de los bolsillos y se calcula el litraje la mochila no llega a 30 litros entre 28.5 y 29.5 aprox... PARECE MAS GRANDE DE LO QUE EN VERDAD ES.  peeeeero también tiene sus positivos... A pesar q es chica y de 30L reales carga mucho para su tamaño. Los bolsillos y las divisiones están muy buenos en cantidad y distribución sirve muy bien para organizar todo y tenerlo de fácil acceso... la solapa con broche delantero hace q se pueda extender su capacidad llevando incluso otro bolso más chico apretado con ella y queda estéticamente perfecto... La calidad q demuestra al tacto parece buena (lo dirá el tiempo) pero la sensación es de buena calidad... COSTO/BENEFICIO EXELENTE...
3,REPUESTO OK: = DE DEFICIENTE QUE EL ORIGINAL,"El modelo de Samsung falla, por eso uno compra repuestos. El repuesto estaba correcto, me sirvió, pero no venía como el vendedor mostraba en las fotos. Se consultó y se dijo que venía exactamente igual a las fotos pero al llegar no contaba con los stickers (Para una reventa esto es relevante) Por otro lado, Encontré en múltiples foros (de acá y extranjeros) idénticos problemas: botón izquierdo del touch pad cuesta que marque, si se mira desde abajo se rompe el hilo de plástico que conecta el botón y después queda inservible, el teclado empieza a dejar de funcionar, una letra, dos, tres, el enter y así va avanzando. Compré el repuesto porque comprar una computadora similar es caro hoy día, pero si volvería a tener que comprar una portátil no compraría este modelo (np300e4c). El repuesto es costoso (2300 pesos) pero sigue siendo un repuesto. Luego de colocarlo me costó mucho que el botón derecho agarre, lo hace pero hay que darle con fuerza (y a la larga esto lo rompe). No estoy completamente convencida del resultado y su durabilidad. Además si bien la parte del teclado parece  estar todo, en la parte del touchpad, abajo, donde estan estos botones complicados, no viene la pegatina que lleva el botoncito debajo que es el que se toca con los botones del pad y hace el click, así que supongo que eso también afecta a que tenga sensibilidad."
3,Buen producto. Recomendado. Pero... tengan cuidado,"El producto muy bueno. Funciona bien y cumple con la descripción que se hace del mismo. Igualmente vino con todas las características y accesorios mencionados. Lo probamos en la ciudad con uno en casa y el otro en el auto, y alcanzamos una distancia aproximada de 2 km donde se escuchaba perfectamente. En campo no lo hemos probado aún, pero si con interferencias, edificios y demás tenían conexión a esa distancia, seguramente en campo superará con creces los 10 km.  Le pongo 3 estrellas por un problema que tuve con uno de los handys que vino fallado y por el tiempo que tardaron en darme una solución. Entiendo los tiempos de envío y todo eso que no se puede evitar. Pero desde que hice el reclamo tardaron 5 días en contestarme. CINCO DÍAS. Cuando oferté por el producto, en el mismo día me contestaron. No entiendo el por qué de la diferencia de tiempo para responder. El mismo día que por fin contestaron, hice el envío al local, pero pasaron 2 semanas hasta que me volvió a llegar.   CONSEJO: Si van a pedirlos, pidan que los revisen antes de enviarlos y que verifiquen su funcionamiento. Yo daba por hecho que eso se haría. Pero se ve que no. El proceso de devolución/cambio es muy engorroso (sobre todo si son del interior del país). Tengan cuidado con eso.  Dejando el problema de lado. Los recomiendo y los volvería a comprar. Esta vez con el recaudo dicho anteriormente. Pero definitivamente se quedaran más que conformes. Asegurado."
3,"Buena, barata... y caprichosa","Es algo frágil y ruidosa pero los cartuchos valen dos mangos y se le puede comprar el fusor por dos pesos y cambiarlo uno mismo con lo cual tengo impresora para rato. La instalación para usarla con WiFi no es dramática, hay que prestar atención a un par de casos. Mi drama, en todo caso, tiene que ver con que trae seteado de fábrica el tamaño Carta... y aunque use una aplicación de Brother llamada Remote Printer Console (viene en el CD de instalacion en la carpet aTools), no puedo mandarle un valor nuevo a la impresora. Aunque Windows quede seteado en A4, al mandar a la impresora queda en espera con la luz naranja prendida y hay que pulsar el boton de encendido para que fuerce la impresion. Claro, la solucion mas facil es setear Windows en tamaño carta y decirle que imprima de manera proporcional en tamaño carta si el programa le manda la orden de imprimir en A4 (con lo cual imprimís al 90% del tamaño y tenés que retocar el margen vertical), como si la Bios no pudiera cambiar el valor por default que trae de fábrica. Pero creo que vale la pena, sobre todo como impresora casera (para facturas, trabajos escolares, etc) porque el costo de impresión por hoja es de centavos."
3,Buen reemplazo de las halogenas calidas.,"El producto es bueno. Una pena que osram lo venda de a 10, por ende al comprar un par te viene en una bolsa. Las lamparas andan bien y es exactamente lo que estaba buscando, ya que cambie todo el juego de lamparas a las osram cool blue y los muchachos que las cambiaron me pusieron led driving de osram que tiene tono 6000k mientras todas las restantes tenian tono de 4200k, por ende me quedó bicolor y se las cambie asi quedan todas las lamparas del mismo tono.  Ojo con el tema del nombre comercial cool blue que engaña. De ninguna manera esto es algo parecido al xenon o de luz azul. La luz de tono entre 3500 y 4500 kelvin es tono neutro. El xenon está por encima de los 8000 kelvin, inferior a 3500 está el tono calido (como las halogenas de serie) y el tono blanco de los leds alta gama que vienen ahora rondan los 6000k.   Es una mejora de luz para cuando tenes las halogenas comunes, se ve mucho mas pero de ninguna manera son azuladas ni se parecen al xenon.   Siempre que menciono la palabra xenon, me refiero a la iluminacion de xenon de los viejos autos de alta gama, no a esas porquerias chinas de xenon que si rondan los 4500 kelvin y que se queman a cada rato. Los nuevos autos de alta gama vienen con Led blancos frio."
3,Buena relación calidad/Precio.,"Armado:  La silla viene desarmada, y el armado es simple.    Estructura: Parece solida, aunque todo el respaldo se sostiene de dos tornillos que forman la estructura del apoyabrazos. Da la sensacion de ser algo endeble, si la persona es pesada o si te tiras para atras demasiado. Es tipo PVC (no metal), aunque he visto varias de la misma manera asi que debe ser algo habitual.    Material: El material es comodo y no transpira. Uno de los orificios para tornillo, tenia un cortecito que lo excedia, pero al consultar me dijeron que no hay riesgo de que se abra, y si lo hace lo cubre la garantia dentro del tiempo que dan.    Terminacion: Muy buena para el precio que se paga. La estrella de metal hace que quede mas bonita.    Ruedas: Las ruedas que trae son las normales. Pague extra por unas ruedas que supuestamente no rayan el plastificado (unas grises). Raya igual, OJO.  Quizas para parquet evitan que el parquet se manche, pero con un plastificado semisatinado, se raya todo (solo la use 6 dias). Tuve que poner una alfombra para no destruirlo."
3,Aceptables pero no la gran cosa...,"A ver... Hagamos una reseña:  La parte del NFC no sé si es que el mío no funciona o no se, pero no logré hacerlo conectar por este medio. Mí teléfono es compatible con NFC, y luego de cientos de intentos, solo lo logré conectar por Bluetooth normalmente como cualquier auricular.  En cuanto a calidad de reproducción: Está en la media, no es malo, pero no esperes grandes expectativas. Le daría un 6/10.   Comodidad:  Es bastante incómodo comparado con otros auriculares. Al estar con los auriculares puestos mucho tiempo cansan bastante y se hacen incómodos. No es para tenerlos más de una hora puestos. No tienen regulación de altura eso es algo malo.  Calidad y rendimiento: Lo veo bastante poco resistente, y tengo sensación que se quiebre en un periodo corto de tiempo. Ojalá me equivoque.  En cuanto al control táctil, esta bien, aunque no siempre funciona al 100% (ejemplo, querés cambiar de canción y se pausa en vez de pasar). Tenés que ser cuidadoso con los gestos. Digamos le doy un 7/10.  Bateria:  Está bien. Dura un poco más de la media de los auriculares. Pero no más de 6 hs de uso constante. 8/10.  Relación calidad precio y conclusión:  ¿Valen la pena?  Si, pero no tengan grandes expectativas.  Me parecen más caros de lo que deberían por sus características y ser una marca poco conocida.  Saludos."
